-0.959,-0.273,-0.075
-0.955,-0.287,-0.072
-0.954,-0.291,-0.071
-0.982,-0.191,0.011
0.993,-0.106,0.048
0.993,-0.108,0.049
0.993,-0.106,0.048
-0.970,-0.236,0.053
-0.971,-0.232,0.052
-0.970,-0.239,0.053
-0.968,-0.243,0.054
-0.967,-0.248,0.055
-0.969,-0.240,0.054
0.988,-0.136,0.074
0.988,-0.136,0.074
0.987,-0.141,0.075
-0.959,-0.265,-0.095
-0.925,-0.347,0.153
-0.928,-0.341,0.152
-0.924,-0.350,0.153
-0.924,-0.351,0.153
-0.923,-0.354,0.154
-0.921,-0.357,0.155
-0.924,-0.350,0.153
0.968,-0.210,0.136
0.968,-0.210,0.136
0.969,-0.206,0.136
